,Term,NumPostings
11,R,14.7540983607
18,Python,11.4754098361
5,JavaScript,11.4754098361
6,Excel,9.83606557377
20,SQL,8.19672131148
12,Matlab,6.55737704918
8,C++,6.55737704918
2,Java,6.55737704918
27,Ruby,4.91803278689
9,Perl,3.27868852459
3,NoSQL,3.27868852459
19,MongoDB,3.27868852459
24,SAS,3.27868852459
7,Hadoop,1.6393442623
4,Scala,1.6393442623
22,SPSS,1.6393442623
26,Pig,1.6393442623
0,D3.js,0.0
23,Oozie,0.0
25,Spark,0.0
28,D3,0.0
15,Hive,0.0
21,MapReduce,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
14,Tableau,0.0
13,HBase,0.0
10,Mahout,0.0
29,Cassandra,0.0
