,Term,NumPostings
11,R,22.2222222222
5,JavaScript,12.5
6,Excel,9.72222222222
2,Java,8.33333333333
20,SQL,8.33333333333
24,SAS,6.94444444444
18,Python,5.55555555556
8,C++,4.16666666667
15,Hive,4.16666666667
25,Spark,2.77777777778
7,Hadoop,2.77777777778
4,Scala,2.77777777778
21,MapReduce,2.77777777778
9,Perl,1.38888888889
28,D3,1.38888888889
13,HBase,1.38888888889
14,Tableau,1.38888888889
3,NoSQL,1.38888888889
22,SPSS,0.0
27,Ruby,0.0
26,Pig,0.0
23,Oozie,0.0
0,D3.js,0.0
19,MongoDB,0.0
17,Shark,0.0
16,Flume,0.0
1,ZooKeeper,0.0
12,Matlab,0.0
10,Mahout,0.0
29,Cassandra,0.0
